index,Rwp,step,frac,scale
177,14.74186312617034,粗调 (Stage 1),"[0.5977098345756531, 0.4022901952266693]","[0.8070337176322937, 0.7926456928253174]"
178,15.875804796571414,粗调 (Stage 1),"[0.4999818503856659, 0.5000181794166565]","[0.9299526214599609, 0.9576811194419861]"
179,14.251053820122783,粗调 (Stage 1),"[0.6180230379104614, 0.38197702169418335]","[0.7864955067634583, 0.7756941914558411]"
180,14.247297651077591,粗调 (Stage 1),"[0.6178901791572571, 0.3821098208427429]","[0.7861234545707703, 0.7757603526115417]"
181,14.249543812683669,粗调 (Stage 1),"[0.6179277896881104, 0.38207221031188965]","[0.7863041162490845, 0.7757986783981323]"
182,14.245081643348717,粗调 (Stage 1),"[0.6178470849990845, 0.3821529448032379]","[0.7859505414962769, 0.7757388949394226]"
183,14.499960195947958,粗调 (Stage 1),"[0.621347963809967, 0.37865200638771057]","[0.8061002492904663, 0.7820584177970886]"
184,13.976893090554238,粗调 (Stage 1),"[0.6146718263626099, 0.3853282034397125]","[0.7637072205543518, 0.7665979862213135]"
185,14.487820915258911,粗调 (Stage 1),"[0.6166493892669678, 0.3833506405353546]","[0.7697035074234009, 0.7707220911979675]"
186,13.522018648286535,粗调 (Stage 1),"[0.6123610138893127, 0.38763898611068726]","[0.7562606334686279, 0.7630306482315063]"
187,13.601250498975961,粗调 (Stage 1),"[0.6113203763961792, 0.3886796534061432]","[0.7594338655471802, 0.7677129507064819]"
188,13.413939086667154,粗调 (Stage 1),"[0.6185608506202698, 0.3814391791820526]","[0.7451192736625671, 0.7420058846473694]"
189,14.13750327565263,粗调 (Stage 1),"[0.5834158658981323, 0.41658416390419006]","[0.6363104581832886, 0.7104790210723877]"
190,14.124892418925377,粗调 (Stage 1),"[0.617375373840332, 0.38262465596199036]","[0.7478768229484558, 0.7485311627388]"
191,16.91389869022672,粗调 (Stage 1),"[0.7061736583709717, 0.2938263714313507]","[0.6935057640075684, 0.6357294917106628]"
192,13.472411667677159,粗调 (Stage 1),"[0.545827329158783, 0.45417270064353943]","[0.8120904564857483, 0.8445032238960266]"
193,13.557134491102369,粗调 (Stage 1),"[0.6084230542182922, 0.3915769159793854]","[0.7333659529685974, 0.7465925812721252]"
194,15.773667852690206,粗调 (Stage 1),"[0.6326227784156799, 0.36737728118896484]","[0.8230170011520386, 0.7776420712471008]"
195,14.27678905087114,粗调 (Stage 1),"[0.698175847530365, 0.3018242120742798]","[1.1168193817138672, 0.8097782135009766]"
196,15.715056084291398,粗调 (Stage 1),"[0.5283064842224121, 0.4716934859752655]","[0.529193103313446, 0.6986548900604248]"
197,14.114559059566103,粗调 (Stage 1),"[0.6432308554649353, 0.3567691445350647]","[0.8412718772888184, 0.7662655711174011]"
198,13.59470331074997,粗调 (Stage 1),"[0.6130332946777344, 0.3869667053222656]","[0.7469732761383057, 0.7520051598548889]"
199,13.722914582061357,粗调 (Stage 1),"[0.6183191537857056, 0.38168084621429443]","[0.7512896656990051, 0.7546643614768982]"
200,13.808594052108727,粗调 (Stage 1),"[0.6208065152168274, 0.3791934847831726]","[0.7412840723991394, 0.7370864152908325]"
201,13.91558713813923,粗调 (Stage 1),"[0.6136442422866821, 0.3863557279109955]","[0.748504638671875, 0.7573654055595398]"
202,13.439788751079263,粗调 (Stage 1),"[0.6220990419387817, 0.37790095806121826]","[0.7499276995658875, 0.7412442564964294]"
203,13.414456785789714,粗调 (Stage 1),"[0.6067721843719482, 0.39322784543037415]","[0.7671391367912292, 0.7696494460105896]"
204,13.98499799048764,粗调 (Stage 1),"[0.6080906987190247, 0.39190927147865295]","[0.7559316754341125, 0.7588754296302795]"
205,18.769226042258442,粗调 (Stage 1),"[0.2910309135913849, 0.7089690566062927]","[0.27536988258361816, 0.38620123267173767]"
206,18.769226042258442,粗调 (Stage 1),"[0.2910309135913849, 0.7089690566062927]","[0.27536988258361816, 0.38620123267173767]"
207,18.78516897108986,粗调 (Stage 1),"[0.29863783717155457, 0.701362133026123]","[0.28200244903564453, 0.39003506302833557]"
208,18.78516897108986,粗调 (Stage 1),"[0.29863783717155457, 0.701362133026123]","[0.28200244903564453, 0.39003506302833557]"
209,18.828650350213845,粗调 (Stage 1),"[0.31094983220100403, 0.6890501976013184]","[0.2859131693840027, 0.39015981554985046]"
210,18.828650350213845,粗调 (Stage 1),"[0.31094983220100403, 0.6890501976013184]","[0.2859131693840027, 0.39015981554985046]"
211,14.458578281742959,粗调 (Stage 1),"[0.6513054370880127, 0.3486945927143097]","[0.7203512191772461, 0.6971204876899719]"
212,14.339667037975303,粗调 (Stage 1),"[0.5996238589286804, 0.4003761410713196]","[0.7597161531448364, 0.7640905976295471]"
213,14.55341114298681,粗调 (Stage 1),"[0.5559605956077576, 0.44403940439224243]","[0.8107360601425171, 0.8241271376609802]"
214,14.0548022192562,粗调 (Stage 1),"[0.6307486891746521, 0.3692513108253479]","[0.7492687702178955, 0.7402448058128357]"
